ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0522,key_717,"c7f39cfc-2b22-43bd-8150-f5252ec54822
f122a9af-c257-4d9f-8a67-b4beb37aa830
3a898cb1-2fd1-49c1-a2c7-789d0644c3f6",,environnements naturels et faune et flore,,,
http://data.europa.eu/esco/isced-f/0529,key_718,"5d44ec39-f2a0-4fe1-859f-b6bb70fd0736
f19cd062-57ad-4e4b-a20b-7adfd5fd0fe2
89395142-4302-471b-bd65-d3c7fd5fd14e",,environnement non classé ailleurs,,,
http://data.europa.eu/esco/isced-f/053,key_719,"24a2c77a-d37e-47cf-b448-13195cb84ec2
008212fd-96ad-4950-89f6-440701cf6223
246e004b-9d4d-47fc-b411-557173ebe667",,sciences physiques,,,
http://data.europa.eu/esco/isced-f/0530,key_720,"0761da98-a7cc-49a0-91c4-4f180e44b211
e0abb276-de9c-40a3-ae74-515ad5652d53
369a1591-8a5c-4311-a171-6df241244962",,sciences physiques non définies,,,
http://data.europa.eu/esco/isced-f/0531,key_721,"64222679-d8ca-4e0a-bc41-1873ac7ec42d
10c033cf-f9a5-4e3d-a538-8db84a0c15a4
b97515be-771f-4e84-888f-ed49056a9ff8",,chimie,,,
http://data.europa.eu/esco/isced-f/0532,key_722,"cd3b64ae-86da-459b-92ca-f649579a0f86
ba8164c1-5796-42d6-9082-9f54251df104
9b0acaa7-9d91-4397-8a78-cd6d992b46fa",,sciences de la terre,,,
http://data.europa.eu/esco/isced-f/0533,key_723,"592f4a8e-0f08-4997-a826-19e1af48e089
dd0eae08-e020-4870-b437-7c9cbc02afab
cac819b2-9740-4d9c-936b-3ee91865d55f",,physique,,,
http://data.europa.eu/esco/isced-f/0539,key_724,"ebf2d6eb-79b9-45cc-b301-06eb78c330f2
776b27d5-00be-4a99-9e38-e3cd97adb05d
a6cec12e-80aa-4838-be0c-9cd66d5d9765",,sciences physiques non classés ailleurs,,,
http://data.europa.eu/esco/isced-f/054,key_725,"6194adf4-c247-4af2-ac27-76c50e0c4ede
99914071-8dd9-48bd-bc01-f0d825fe91e0
cecdc481-3867-4040-9eb1-deced186c95c",,mathématiques et statistiques,,,
http://data.europa.eu/esco/isced-f/0540,key_726,"9d1585c2-ef42-48ae-829e-a6761c7095c1
87a0dd0f-b30a-4bc7-8f46-a22bd5437deb
5b710d4f-76db-4930-b453-906b31f12895",,mathématiques et statistiques non définis,,,
http://data.europa.eu/esco/isced-f/0541,key_727,"e206948f-9047-484c-973b-cc2f08cf17bc
7bd79824-7326-4b00-99b4-eeaf139417c6
e2ad182a-2b32-4478-ace7-142d4afebf1c",,mathématiques,,,
http://data.europa.eu/esco/isced-f/0542,key_728,"09f70105-a9b3-40bc-ba3a-c407720832fd
2479265e-53a2-4e3a-8520-a7257bbc8b16
f6eaa181-94de-48ea-a20c-909cf62413d4",,statistiques,,,
