originalSkillUri,originalSkillType,relationType,relatedSkillType,relatedSkillUri
http://data.europa.eu/esco/skill/0450f6a4-495e-4484-b11f-84e8c12ac5f9,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d4520367-f1b9-4f10-9d91-92a6715e571c
http://data.europa.eu/esco/skill/04512804-4c83-4e1c-a963-02c58e918240,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/9c66b182-96ec-43b3-8821-2aeb7df66f12
http://data.europa.eu/esco/skill/0460013b-e73a-4200-8c11-88b3b60a222a,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/4cbe4ca4-c7be-452f-aab2-f8520a828497
http://data.europa.eu/esco/skill/04666ae0-ad33-41b2-8977-7121583799d3,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/2ed78f04-8282-40ab-89a6-9392fde00826
http://data.europa.eu/esco/skill/04666ae0-ad33-41b2-8977-7121583799d3,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/bf79d407-559a-4ef3-a771-fde99da5beec
http://data.europa.eu/esco/skill/0476ca2b-f84e-4657-95b1-ad80bc48d002,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/f5b23047-990a-4576-a07a-320e7d040683
http://data.europa.eu/esco/skill/04880044-9668-45b8-b888-f3d9894bac9f,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/059b2748-e1df-43d2-8a08-0331fb8d0ddf
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/0cf27a00-947f-473d-af1a-24028c17ba27
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/598a1b3c-828e-494c-a034-3cbc136ca929
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/60493b7f-8613-431e-91ea-6a2c0410c6d4
http://data.europa.eu/esco/skill/048affec-04db-4bd5-b7a6-c666d16c0fef,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d3e63bd9-cc29-4e46-92b1-c2b6fa491624
http://data.europa.eu/esco/skill/048f3205-6b1a-43e0-9f76-8c43562c6140,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e54a3ed7-465f-432b-8940-2aeabeaa449e
http://data.europa.eu/esco/skill/04dd3f36-7056-4824-9eee-b0312d4a25b7,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/2336b108-a59b-4ff0-84c4-d838b4d297bd
http://data.europa.eu/esco/skill/04dfd9fb-e0cf-40f6-96c6-9d2280c4347e,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/327d15c8-29ff-4ad4-a4fe-6536d777a45f
http://data.europa.eu/esco/skill/04e08696-b62e-446c-9b53-3b48f9af0904,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/d5fedb98-5bf8-4f95-a336-25857e392c07
http://data.europa.eu/esco/skill/04e08696-b62e-446c-9b53-3b48f9af0904,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/fcae5ce9-62a7-4318-bed4-339553f6a83f
http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/13d96098-2ff0-46b8-b326-b7c0e18cc1f1
http://data.europa.eu/esco/skill/04e52ec7-5107-455b-a943-8004015d5b26,knowledge,optional,knowledge,http://data.europa.eu/esco/skill/e591f458-93c4-4cc7-a441-2340545c33f3
