UUID,OriginUUID,TabiyaURI,ESCO_UUID,altLabels
,,,,"automation operator & programmer
automated fly bar operator
lead automation operator
automated fly bar technician
automation programmer & operator
theatre automated rigging operator
automation programmer and operator
stage automation operator
automation operator and programmer"
,,,,"senior commissioning technician
commissioning technician"
,,,,"regional director
branch supervisor
international business manager
branch office administrator
recruitment agency manager
area office manager
branch manager
subsidiary manager
branch chief
regional manager
regional administrative manager"
,,,,"search engine optimization expert
search engine optimisation specialist
search engine optimiser
SEO expert
SEO specialist
growth hacker
inbound marketer
SEO experts
search engine optimisation experts
search engine optimisation consultant
search engine marketing specialist"
,,,,"water network operator
water supply network operative
water supply network operator
pumping station operator
water network worker
pumping station worker
water network operative
water leakage technician
leakage operative
water network repair technician
water network maintenance technician
pumping station operative
water supply network worker
water network technician
water and sewerage operative"
,,,,"youth agent
school youth worker
youth advisor
youth informant
youth information animator
information mission leader
youth information expert
youth information provider
youth moderator
youth project consultant
youth mentor
extracurricular manager
youth information consultant
youth career consultant
youth facilitator
youth centre director
youth consultant 
information and youth advice technician 
field information worker
youth counsellor "
,,,,"green coffee acquisition specialist
green coffee buyer
green coffee purchaser
coffee buyer
green coffee procurement specialist"
,,,,"economics teacher
university economics lecturer
lecturer in economics
university lecturer in economics
professor of economics
senior lecturer in economics
economics lector
economics professor
higher education economics teacher
university economics teacher
lecturer of economics
economics instructor
economics lecturer
economics docent"
,,,,"light vehicle parts operative
LGV parts operative
LGV service operative
coach parts operative
bus parts advisor
PCV service operative
coach service operative
fleet service operative
motor vehicles parts advisor
fleet parts advisor
light vehicle parts advisor
bus and coach parts advisor
coach parts advisor
bus and coach service operative
LGV parts advisor
bus and coach parts operative
PCV parts advisor
heavy vehicle parts advisor
bus parts operative
light vehicle service operative
heavy vehicle parts operative
PCV parts operative
fleet parts operative
bus service operative
heavy vehicle service operative"
,,,,"hair cutter
scalp treatment specialist
hair colour specialist
hairdresser
hair colourist
cosmetologist
wig stylist
hair-care specialist
hairstyling specialist"
,,,,"art restorer
artifact conservator
restoration technician
restorers
restoration artist
restorer
art objects repairer
preserver"
,,,,"video jockey presenter
program host
sports presenter
broadcast journalist
broadcasting presenter
senior broadcast journalist
finance broadcast journalist
sport announcer
television presenter
VJ radio presenter
TV presenter
moderator
DJ radio presenter
presenter
host
hostess
freelance broadcast presenter
radio presenter
announcer
broadcaster
broadcast presenter"
,,,,"golf coach
golf instructor
junior golf instructor
golf teacher
senior golf instructor"
,,,,"domestic energy sales promoter
residential energy saleswoman
residential energy sales negotiator
residential energy sales promoter
domestic energy assessor
domestic energy seller
residential energy salesman
domestic energy sales negotiator
residential energy seller
residential energy salesperson
residential energy sales rep
residential energy sales representative"
,,,,"administrative support officer
membership officer
membership sales administrator
membership administrator
account administrator
membership and subscription administrator
regional membership administrator"
,,,,"hand laster
hand lasting craftsman
hand lasting technician
hand lasting operator
manual lasting operator"
,,,,"au pair
duenna
nursemaid
live-in caregiver
dry nurse
mother's helper
governess
nanny
live-in baby sitter
private child care provider"
,,,,"business to business sales consultant in perfume and cosmetics
business to business seller in perfume and cosmetics
wholesaler in perfume and cosmetics
graduate wholesale merchant in perfume and cosmetics
B2B sales consultant in perfume and cosmetics
wholesale merchandiser in perfume and cosmetics
senior wholesale merchant in perfume and cosmetics
wholesale merchant in perfume and cosmetics
wholesale trader in perfume and cosmetics
assistant wholesale merchant in perfume and cosmetics
trainee wholesale merchant in perfume and cosmetics
wholesale buyer in perfume and cosmetics"
,,,,"rivet tapper
rivet tosser
rivet driver
rivet machine operator
rivet sticker
riveter
rivet passer
metal riveter
bull riveter
rivet machine operative
rivet thrower
rivet bucker
rivet catcher
rivetter
rivetting apprentice"
