OCCUPATIONOBJECTTYPE,REQUIRING,RELATIONTYPE,REQUIRED
ESCOOccupation,5d5ea900-738a-49f6-8a8d-21c7f4141145,optional,272ed0bf-19a9-49f2-938b-f30ec339175e
ESCOOccupation,5d5ea900-738a-49f6-8a8d-21c7f4141145,optional,06396548-e5f4-4420-b484-b5dc60d0b598
ESCOOccupation,bef27934-c5d4-48b5-8b04-867c3faa9dd7,optional,d3ddb625-f47d-4bb4-9783-b4c5c5aa2847
ESCOOccupation,0ef6190b-9227-4c4e-ae78-56a4e01a38cd,optional,45c28061-aed0-4a1c-88ad-f3329d2c52e5
ESCOOccupation,35eee418-b85f-444a-b54f-70fe3e3a0eef,optional,347f29e3-bd41-4c4b-8e0a-f4b6e66174ab
ESCOOccupation,35eee418-b85f-444a-b54f-70fe3e3a0eef,optional,4b286f57-05cb-4981-9427-4b0a3a1845ed
ESCOOccupation,98e762d5-3cbb-4ae1-9b57-1501cb4f67a9,optional,9846a39e-8252-446a-ad51-c0995f0846a6
ESCOOccupation,f49f6832-6e89-4252-b1aa-5de8d1299e09,optional,0e744bd0-9971-41f2-85bc-5bfecd403102
ESCOOccupation,f49f6832-6e89-4252-b1aa-5de8d1299e09,optional,4bf8516c-e7ff-415c-8dc1-13a3f6b4a410
ESCOOccupation,a276411b-1cf6-4bc7-af1f-21a12a32e5fa,optional,9c1358cc-4038-44e5-849a-a522e8eaadb4
ESCOOccupation,4e0b81eb-595d-47c9-be97-fc8a606ca8ec,optional,e1c75710-8120-4f24-a0f4-7490bbe38530
ESCOOccupation,cf181b27-ff5b-4200-8f9c-bafd38cea614,optional,f7fcd7df-71df-45fd-91fc-7ef51c0480e3
ESCOOccupation,02f2f41c-f4d2-4b93-9315-fead1de0c235,optional,77c22ac2-199a-4150-8623-1625b0320202
ESCOOccupation,02f2f41c-f4d2-4b93-9315-fead1de0c235,optional,794673bc-63b5-404f-8e73-80dd4604e5b3
ESCOOccupation,2941dc80-6a42-4c45-bd57-93f5b2986d20,optional,c72c59e1-3434-4fc4-b291-8a0381e86303
ESCOOccupation,d6b6e932-9ab4-441d-9311-de18fc2600f7,optional,08a578d0-41d2-499d-9628-ee95369f611e
ESCOOccupation,cfdd6c13-6c4c-4587-a536-586d88b8d24f,optional,71c655fe-cd50-41b2-b1c9-5c85e71d259d
ESCOOccupation,73882607-ac46-47f7-a9fa-350e0cbe1340,optional,68a18cc7-5f99-4834-89a9-39d028ffb03a
ESCOOccupation,75407444-11b4-4617-88e0-d6686805c9f4,optional,79932b27-3a14-45a5-8050-6d39c002074c
ESCOOccupation,75407444-11b4-4617-88e0-d6686805c9f4,optional,a882cd2b-0c5f-4b6c-a732-3a66e6090dc2
ESCOOccupation,d4a07b36-91e9-4eee-b945-565adcb954ff,optional,4934878d-ca80-4466-8051-4ba966ed97c8
ESCOOccupation,3010a321-3d86-4b07-ae66-29934ba2f5c2,optional,dfba5b0b-71b1-439c-ba3b-5145c01b8fd1
ESCOOccupation,3010a321-3d86-4b07-ae66-29934ba2f5c2,optional,e1e968d6-419c-4153-a331-c8f3691342b6
ESCOOccupation,69da1a2b-51ff-430f-8515-a6c8574b2a00,optional,ce757f96-3795-41de-9864-adc34b53605e
ESCOOccupation,ef44c35b-b66a-4553-ad05-d2c165371580,optional,3015a373-cc25-4c26-9d29-e3398336d2ba
ESCOOccupation,ef44c35b-b66a-4553-ad05-d2c165371580,optional,30ea974b-28e7-47fd-9f7e-1b40e5ac0143
ESCOOccupation,9079919d-33f1-473c-9ae1-80b678c84318,essential,8dc50b42-91f1-4af0-be0e-2e1d6efbab4a
ESCOOccupation,9079919d-33f1-473c-9ae1-80b678c84318,essential,0acb3a91-85e0-4cce-be28-76643cd1b34d
ESCOOccupation,9079919d-33f1-473c-9ae1-80b678c84318,essential,91b4635b-12f6-453c-9046-e7758f910ca1
ESCOOccupation,13cf4cce-585c-434a-b79a-6bdd4aa22a38,optional,0886a2b2-5637-412d-b525-d50cf3247262
ESCOOccupation,13cf4cce-585c-434a-b79a-6bdd4aa22a38,optional,0a0fe993-72dd-445e-9347-b98f00b2a997
ESCOOccupation,13cf4cce-585c-434a-b79a-6bdd4aa22a38,optional,1aad2b1c-d02e-4a2a-8b50-e92dba38d091
ESCOOccupation,0753d109-7a8f-4b90-8b36-0fa912158fad,optional,ad61309a-bfd0-49d3-a8f3-d1562c9d3741
ESCOOccupation,7c461dd9-0af6-4d66-bf3a-c6c8b54b3b3d,optional,ca6676d6-fd09-4ab1-b4ee-d8b4f743f52e
ESCOOccupation,7c461dd9-0af6-4d66-bf3a-c6c8b54b3b3d,optional,9f409259-5e3a-4be5-8a79-3c941ca38ff8
ESCOOccupation,7c461dd9-0af6-4d66-bf3a-c6c8b54b3b3d,optional,c25719c8-dfa9-40c9-af20-794393726fa6
ESCOOccupation,f9f50628-f609-4a69-bcb1-b2e1bc92584a,optional,c8a5c805-7bd9-467a-9b57-7da2177fb91b
ESCOOccupation,ec3aae54-b595-4d1f-8806-ec0c1ef0ef24,optional,f5e47552-61f0-418c-b3a3-5b07ae4638ad
ESCOOccupation,5e3a4b49-bdac-474d-a6b0-ca38c42b24c9,optional,a2933630-00d1-4aaf-a147-92ed4d70fee9
ESCOOccupation,5e3a4b49-bdac-474d-a6b0-ca38c42b24c9,optional,06396548-e5f4-4420-b484-b5dc60d0b598
ESCOOccupation,5e3a4b49-bdac-474d-a6b0-ca38c42b24c9,optional,572530c9-6e7e-4760-8ea1-96cff94c43d7
ESCOOccupation,a7ef3ea7-b8e8-456b-9c68-11b444d0d840,optional,fe1eae8c-a742-48a6-a728-ad1d47e04d10
ESCOOccupation,8e5e5f9d-2ed7-4813-800d-79b20b531fe5,optional,9230d271-e192-4763-8784-ad920bffbf90
ESCOOccupation,7b19e40a-d5ea-4692-a8eb-b1648d388f27,essential,4cc2b1ff-1a8e-439c-b286-e0698e3f0c05
ESCOOccupation,7b19e40a-d5ea-4692-a8eb-b1648d388f27,optional,71ef1519-f72f-4585-982d-6566c14f5dee
ESCOOccupation,7b19e40a-d5ea-4692-a8eb-b1648d388f27,optional,f290d3bc-c430-40cd-a788-93b5ad0fe6a3
ESCOOccupation,7b19e40a-d5ea-4692-a8eb-b1648d388f27,optional,bebecbcf-90e0-49a4-ad74-0129ba559ba1
ESCOOccupation,7b19e40a-d5ea-4692-a8eb-b1648d388f27,optional,30490ba2-fef0-4ddd-a596-75714b4390d0
