PARENTOBJECTTYPE,PARENTUUID,CHILDUUID,CHILDOBJECTTYPE
SkillGroup,994213a3-1426-4ea9-8889-5038e318c5ee,f81e671a-8aaa-4694-b56b-9c7f98537fee,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,dbebbe61-bc27-4baa-8d18-d03b4fe30193,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,e5a909dd-909e-49e8-8c5a-a8cd771701c2,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,b7d58924-28d1-4c0a-92d6-5d36a45d2fb0,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,f1895d9a-b486-476d-9b9a-ea9595c22d0b,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,8cd8c275-9cef-4422-9eb1-22766018dce8,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,1fff1d09-14c0-4d31-aa4f-5463ba0481b3,SkillGroup
SkillGroup,dbebbe61-bc27-4baa-8d18-d03b4fe30193,20c50f7b-77d2-4874-9512-5bdde81b32b5,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,aeb3dae9-3440-4e78-a518-6fbcfc4cad9d,SkillGroup
SkillGroup,aeb3dae9-3440-4e78-a518-6fbcfc4cad9d,fa40c523-06b8-4db1-8aa9-5dd6ca997989,SkillGroup
SkillGroup,aeb3dae9-3440-4e78-a518-6fbcfc4cad9d,3970ac94-b562-41b3-bb50-bebc2194ee32,SkillGroup
SkillGroup,aeb3dae9-3440-4e78-a518-6fbcfc4cad9d,34de4cff-49da-443b-872f-88241d320c9a,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,6043be8c-31c3-4b57-acb6-0ee44834b998,SkillGroup
SkillGroup,6043be8c-31c3-4b57-acb6-0ee44834b998,e8b4afa6-90ec-49b6-a370-f3e7a93dd40a,SkillGroup
SkillGroup,eaf498e4-e55a-4749-b6e1-eed711b47a34,19654f60-872d-4035-aec8-2d15a5c29741,SkillGroup
SkillGroup,19654f60-872d-4035-aec8-2d15a5c29741,050b08fc-ca85-4557-9e04-135f1ab6b6ef,SkillGroup
SkillGroup,0f8ce649-6a97-4e67-90a1-080fd6de417a,452caf8d-88b3-42b8-bee9-38714b6aabeb,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,a40ed30d-a593-40cb-9db8-02cbf96b7ad7,SkillGroup
SkillGroup,a40ed30d-a593-40cb-9db8-02cbf96b7ad7,eb242273-74f6-414f-930c-2efd53c753f8,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,f4c9375d-6c85-4e97-a237-c0cf19df9c1f,SkillGroup
SkillGroup,f4c9375d-6c85-4e97-a237-c0cf19df9c1f,29dc88ab-c8c8-4ce4-aa33-87a08ac3c54a,SkillGroup
SkillGroup,f4c9375d-6c85-4e97-a237-c0cf19df9c1f,b5efce4c-8b15-4968-b244-30cccb8f0e91,SkillGroup
SkillGroup,f4c9375d-6c85-4e97-a237-c0cf19df9c1f,953d9596-6812-4ff7-9c4f-3752355c7606,SkillGroup
SkillGroup,f4c9375d-6c85-4e97-a237-c0cf19df9c1f,c5cf3f13-ae18-4f54-9a04-25359ed9eaaf,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,ef5ef686-4080-435b-9750-ec4d5149ddba,SkillGroup
SkillGroup,ef5ef686-4080-435b-9750-ec4d5149ddba,eca7ddd3-8817-41ba-9855-18815d462242,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,a090e338-7a55-4724-9644-3df4bbe56f2e,SkillGroup
SkillGroup,a090e338-7a55-4724-9644-3df4bbe56f2e,3c128ccb-553f-469c-b809-4df8b1085992,SkillGroup
SkillGroup,452caf8d-88b3-42b8-bee9-38714b6aabeb,3c1b47ed-3f93-4734-a6c7-e6e40909f982,SkillGroup
SkillGroup,3c1b47ed-3f93-4734-a6c7-e6e40909f982,9d633a35-88be-4e06-90f0-978596793b35,SkillGroup
