ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/0320,key_679,"1a95f1d3-3d1f-47f5-a7ff-fa5c4fa6121d
ff4688dd-4f7c-40ba-9f46-bd46f8afd146",,journalism and information not further defined,,,
http://data.europa.eu/esco/isced-f/0321,key_680,"abc385a2-f75b-435d-8d6a-f275b41dad78
02dba9e2-0848-4293-9a20-2cc3b5a0d872",,journalism and reporting,,"Journalism and reporting is the study of the theory and practices of journalism/reporting as part of the field of mass communication. Journalism and reporting is about the wording and content of messages. It comprises news reporting, writing commentaries and feature stories of public interest etc.
Programmes and qualifications with the following main content are classified here:
Broadcast journalism
Editing
Information (wording and content)
Journalism
Mass communication (wording and content)
News reporting

=== Exclusions
Study of techniques for mass communication (e.g. printing and radio/TV production) is excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.
Study of lay-out and publishing design is excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.
Study of public relations is excluded from this detailed field and included in detailed field 0414 'Marketing and advertising'.",
http://data.europa.eu/esco/isced-f/0322,key_681,"479da7ec-43e2-4e0d-a2e3-4d1bc389bfc0
28679124-db7e-4ea6-969a-6210a759874c",,"library, information and archival studies",,"Library, information and archival studies is the study of the methods of selecting, acquiring, organizing and storing collections of information, and facilitating the use of information. Museum and library studies are included here.
Programmes and qualifications with the following main content are classified here:
Archival sciences
Curatorial studies
Documentation
Information science
Library studies
Museum documentation
Museum studies
Museology

=== Exclusions
Restoration and preservation of artistic heritage are excluded from this field and included in field 0222 'History and archaeology'.",
http://data.europa.eu/esco/isced-f/0329,key_682,"ce51998d-1acf-48e7-8416-ab223e983aba
56260fe4-2779-4056-9c9e-742bd55a8eb1",,journalism and information not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/038,key_683,"de3b00fe-81bd-43e7-891a-1fbbfab7ae7c
ad79965e-3b89-4bf8-be43-393873624f51",,"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",,,
http://data.europa.eu/esco/isced-f/0388,key_684,"ebd8938a-2247-44ba-ad1d-698739944a18
eb7e3825-1cda-415a-a851-52914daa2b0c",,"inter-disciplinary programmes and qualifications involving social sciences, journalism and information",,"Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to social sciences, journalism and information are classified here.",
http://data.europa.eu/esco/isced-f/039,key_685,"055c6434-d8ec-4e08-9d02-a25dc0083ef8
c4b11aa8-fac5-46f2-a913-2b0f62359cb4",,"social sciences, journalism and information not elsewhere classified",,,
http://data.europa.eu/esco/isced-f/0399,key_686,"277163ca-1e97-42a4-a888-17fea206d902
259a74fe-d42e-4757-9e26-a94d43518522",,"social sciences, journalism and information not elsewhere classified",,,
http://data.europa.eu/esco/isced-f/04,key_687,"e5f6f7bf-6732-4910-bbf9-7d5d67006cb9
84774dbd-ae6d-4aa0-8b16-c58e1a98ba01",,"business, administration and law",,,
http://data.europa.eu/esco/isced-f/040,key_688,"1c23f483-b2f4-4343-ac44-e979162a974a
e06bad40-7eb8-4257-98e3-af9ae23a20c1",,"business, administration and law not further defined",,,
http://data.europa.eu/esco/isced-f/0400,key_689,"519f1041-e467-4641-97a2-928118c71e77
c7d88303-287d-4fe4-9d9b-d1a3ffd564f2",,"business, administration and law not further defined",,,
http://data.europa.eu/esco/isced-f/041,key_690,"4f9c2335-9054-48b7-9983-ff122c9d0700
8b3a0f34-c6d6-4e47-a64b-341f0f9247e6",,business and administration,,,
http://data.europa.eu/esco/isced-f/0410,key_691,"a3c4ee32-16e4-43a4-bdb9-861d56a9b562
4217456c-be3a-4a1c-b6e1-7c1d364bf4e7",,business and administration not further defined,,,
